,N,T max,duration,profit
0,10,300,0.19634485244750977,51
1,10,600,0.009925127029418945,56
2,10,900,0.007972478866577148,55
3,10,1200,0.00996708869934082,60
4,10,1500,0.009967565536499023,64
5,20,300,1.1461730003356934,48
6,20,600,1.0167865753173828,78
7,20,900,0.4694225788116455,95
8,20,1200,0.014941692352294922,99
9,20,1500,0.0996694564819336,117
10,50,300,4.409583568572998,76
11,50,600,5.80607795715332,111
12,50,900,6.978056192398071,137
13,50,1200,6.743196487426758,168
14,50,1500,6.399978160858154,190
